"","changepoint_prior_scale","seasonality_prior_scale","holidays_prior_scale","seasonality_mode","changepoint_range","mse","mae","mape"
"198",0.01,1,0.01,"multiplicative",0.85,395706.423802651,537.703647050595,0.0421505015628818
"199",0.01,1,0.01,"multiplicative",0.9,399126.700833049,541.067139564507,0.0423844059846882
"200",0.01,1,0.01,"multiplicative",0.95,390889.886762358,533.0658715839,0.0417980691431257
"201",0.01,1,0.1,"additive",0.8,876667.496464211,793.867524667116,0.0632948146194945
"202",0.01,1,0.1,"additive",0.85,877368.640433873,792.788798422667,0.0632133123436711
"203",0.01,1,0.1,"additive",0.9,881915.116268326,799.30413063418,0.0636672660103468
"204",0.01,1,0.1,"additive",0.95,884637.543862403,795.845069082318,0.0633865983384807
"205",0.01,1,0.1,"multiplicative",0.8,396057.139309402,536.552823539859,0.0420580732965269
"206",0.01,1,0.1,"multiplicative",0.85,395706.423802651,537.703647050595,0.0421505015628818
"207",0.01,1,0.1,"multiplicative",0.9,399126.700833049,541.067139564507,0.0423844059846882
"208",0.01,1,0.1,"multiplicative",0.95,390889.886762358,533.0658715839,0.0417980691431257
"209",0.01,1,1,"additive",0.8,876667.496464211,793.867524667116,0.0632948146194945
"210",0.01,1,1,"additive",0.85,877368.640433873,792.788798422667,0.0632133123436711
"211",0.01,1,1,"additive",0.9,881915.116268326,799.30413063418,0.0636672660103468
"212",0.01,1,1,"additive",0.95,884637.543862403,795.845069082318,0.0633865983384807
"213",0.01,1,1,"multiplicative",0.8,396057.139309402,536.552823539859,0.0420580732965269
"214",0.01,1,1,"multiplicative",0.85,395706.423802651,537.703647050595,0.0421505015628818
"215",0.01,1,1,"multiplicative",0.9,399126.700833049,541.067139564507,0.0423844059846882
"216",0.01,1,1,"multiplicative",0.95,390889.886762358,533.0658715839,0.0417980691431257
"217",0.01,1,10,"additive",0.8,876667.496464211,793.867524667116,0.0632948146194945
"218",0.01,1,10,"additive",0.85,877368.640433873,792.788798422667,0.0632133123436711
"219",0.01,1,10,"additive",0.9,881915.116268326,799.30413063418,0.0636672660103468
"220",0.01,1,10,"additive",0.95,884637.543862403,795.845069082318,0.0633865983384807
"221",0.01,1,10,"multiplicative",0.8,396057.139309402,536.552823539859,0.0420580732965269
"222",0.01,1,10,"multiplicative",0.85,395706.423802651,537.703647050595,0.0421505015628818
"223",0.01,1,10,"multiplicative",0.9,399126.700833049,541.067139564507,0.0423844059846882
"224",0.01,1,10,"multiplicative",0.95,390889.886762358,533.0658715839,0.0417980691431257
"225",0.01,10,0.01,"additive",0.8,877647.76622095,792.783050170616,0.063222560802266
"226",0.01,10,0.01,"additive",0.85,880790.753682177,794.057072650428,0.0633500020275541
"227",0.01,10,0.01,"additive",0.9,874519.890284218,794.91036906373,0.063341617775828
"228",0.01,10,0.01,"additive",0.95,884686.520596349,795.810049914003,0.0634640766737501
"229",0.01,10,0.01,"multiplicative",0.8,392212.900932754,533.952548243181,0.0418344907458883
"230",0.01,10,0.01,"multiplicative",0.85,398653.458434031,540.37045818207,0.0423806167785547
